Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,Institutional sector,Edition,Category,TIME_PERIOD,OBS_VALUE,Observation status
Annual,COL,Colombia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,63.109,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,43.217,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,39.717,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,37.236,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,46.039,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,46.722,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,45.886,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,48.673,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,49.411,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,30.775,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,33.221,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,39.998,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,43.897,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,46.908,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,56.177,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,55.984,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,54.819,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,51.955,Normal value
Annual,CZE,Czechia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,47.529,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,71.937,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,68.872,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,67.721,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,80.797,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,78.521,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,64.601,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,63.787,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,63.288,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,66.353,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,70.811,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,77.402,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,86.533,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,85.475,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,88.149,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,83.488,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,83.413,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,79.238,Normal value
Annual,DEU,Germany,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,76.501,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,54.18,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,52.71,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,54.313,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,63.816,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,54.179,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,38.984,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,39.017,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,36.071,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,36.665,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,43.996,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,53.928,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,58.425,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,65.585,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,65.329,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,60.518,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,63.804,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,58.03,Normal value
Annual,DNK,Denmark,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,57.066,Normal value
Annual,ESP,Spain,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,118.283,Normal value
Annual,ESP,Spain,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,116.649,Normal value
Annual,ESP,Spain,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,119.628,Normal value
Annual,ESP,Spain,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,146.591,Normal value
Annual,ESP,Spain,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,139.262,Normal value
